,text
96,"['hard', 'believ', 'lindsey', 'graham', 'would', 'save', 'soldier', 'live', 'amp', 'billion', 'fight', 'enemi', 'syria', 'stay', 'amp', 'kill', 'isi', 'russia', 'iran', 'amp', 'local', 'time', 'focu', 'countri', 'amp', 'bring', 'youth', 'back', 'home', 'belong']"
97,"['congress', 'pass', 'crimin', 'justic', 'reform', 'bill', 'known', 'firststepact', 'congratul', 'great', 'bi', 'partisan', 'achiev', 'everybodi', 'parti', 'work', 'togeth', 'keep', 'countri', 'safer', 'wonder', 'thing', 'u']"
98,"['begrudgingli', 'sign', 'omnibu', 'bill', 'promis', 'wall', 'border', 'secur', 'leadership', 'would', 'done', 'end', 'year', 'happen', 'foolishli', 'fight', 'border', 'secur', 'countri', 'belov', 'u', 'good']"
100,"['much', 'talk', 'wall', 'peopl', 'lose', 'sight', 'great', 'job', 'done', 'southern', 'border', 'border', 'patrol', 'ice', 'great', 'militari', 'rememb', 'caravan', 'well', 'get', 'none', 'form', 'way', 'border', 'tight', 'fake', 'news', 'silent']"
101,"['democrat', 'know', 'steel', 'slat', 'wall', 'necessari', 'border', 'secur', 'put', 'polit', 'countri', 'begin', 'realiz', 'sign', 'legisl', 'includ', 'infrastructur', 'unless', 'perfect', 'border', 'secur', 'u', 'win']"
102,"['russia', 'iran', 'syria', 'amp', 'mani', 'other', 'happi', 'u', 'leav', 'despit', 'fake', 'news', 'say', 'fight', 'isi', 'other', 'hate', 'without', 'us', 'build', 'far', 'power', 'militari', 'world', 'isi', 'hit', 'us', 'doom']"
103,"['usa', 'want', 'policeman', 'middl', 'east', 'get', 'noth', 'spend', 'preciou', 'live', 'trillion', 'dollar', 'protect', 'other', 'almost', 'case', 'appreci', 'want', 'forev', 'time', 'other', 'final', 'fight']"
104,"['get', 'syria', 'surpris', 'campaign', 'year', 'six', 'month', 'ago', 'publicli', 'want', 'agre', 'stay', 'longer', 'russia', 'iran', 'syria', 'amp', 'other', 'local', 'enemi', 'isi', 'work', 'time', 'come', 'home', 'amp', 'rebuild', 'maga']"
105,"['proud', 'presid', 'today', 'hear', 'declar', 'victori', 'syria', 'senat', 'rand', 'paul', 'agre', 'presid', 'decis', 'definit', 'opposit', 'obama', 'decis', 'senat', 'mike', 'lee']"
106,"['trump', 'get', 'credit', 'done', 'middl', 'east', 'true', 'thank', 'laura']"
107,"['col', 'jim', 'carafano', 'trump', 'made', 'middl', 'east', 'better', 'place', 'trump', 'came', 'offic', 'isi', 'run', 'amuck', 'middl', 'east', 'million', 'refuge', 'pour', 'western', 'europ', 'none', 'happen', 'today', 'due', 'trump']"
109,"['histor', 'victori', 'isi', 'time', 'bring', 'great', 'young', 'peopl', 'home']"
110,"['event', 'goe', 'amp', 'new', 'ag', 'replac', 'yet', 'anoth', 'ag', 'openli', 'campaign', 'get', 'trump', 'agenda', 'littl', 'els', 'rant', 'rave', 'amp', 'polit', 'never', 'treat', 'fairli', 'peopl', 'total', 'doubl', 'standard', 'justic']"
111,"['sleazebag', 'ag', 'eric', 'schneiderman', 'sinc', 'resign', 'horrif', 'women', 'abus', 'want', 'close', 'foundat', 'conflict', 'polit', 'shadi', 'eric', 'head', 'new', 'yorker', 'clinton', 'refus', 'even', 'look', 'corrupt', 'clinton', 'foundat']"
112,"['trump', 'foundat', 'done', 'great', 'work', 'given', 'away', 'lot', 'money', 'mine', 'other', 'great', 'chariti', 'year', 'take', 'fee', 'rent', 'salari', 'etc', 'usual', 'get', 'slam', 'cuomo', 'dem', 'long', 'run', 'civil', 'lawsuit', 'start']"
113,"['defeat', 'isi', 'syria', 'reason', 'trump', 'presid']"
