,is_retweet,text
119,False,"['democrats', 'saying', 'loud', 'clear', 'want', 'build', 'concrete', 'wall', 'building', 'concrete', 'wall', 'building', 'artistically', 'designed', 'steel', 'slats', 'easily', 'see']"
120,False,"['beautiful', 'time', 'give', 'country', 'security', 'citizens', 'deserve', 'go', 'fast', 'save', 'us', 'billions', 'dollars', 'month', 'completed']"
121,False,"['congratulations', 'appointment', 'governor', 'great', 'new', 'senator', 'arizona', 'doubt', 'fantastic', 'job']"
122,False,"['president', 'donald', 'j', 'trump', 'commission', 'school', 'safety', 'examined', 'ways', 'make', 'schools', 'safe', 'students', 'teachers', 'read']"
123,True,"['rt', 'today', 'trump', 'direct', 'establish', 'combatant', 'command', 'oversee', 'military', 'activitie']"
124,True,"['rt', 'merry', 'christmas', 'president', 'donald', 'j', 'trump', 'first', 'lady', 'melania', 'trump', 'amp', 'seen', 'saturday', 'december', '15']"
125,False,"['michael', 'isikoff', 'first', 'report', 'dossier', 'allegations', 'seriously', 'doubts', 'dossier', 'claims', 'whole', 'russian', 'collusion', 'thing', 'hoax', 'going', 'restore', 'good', 'name', 'many', 'people', 'whose', 'reputations', 'destroyed']"
126,False,"['never', 'proven', 'likely', 'false', 'thank', 'michael', 'isikoff', 'yahoo', 'honesty', 'means', 'fisa', 'warrants', 'whole', 'russian', 'witch', 'hunt', 'fraud', 'hoax', 'ended', 'immediately', 'also', 'paid', 'crooked', 'hillary', 'amp', 'dnc']"
127,False,"['russia', 'dossier', 'reporter', 'doubts', 'dopey', 'christopher', 'steele', 'claims', 'get', 'details', 'steele', 'dossier', 'specific', 'allegations', 'seen', 'evidence', 'support', 'good', 'grounds', 'think', 'sensational', 'allegations']"
128,False,"['illegal', 'immigration', 'costs', 'united', 'states', '200', 'billion', 'dollars', 'year', 'allowed', 'happen']"
129,False,"['facebook', 'twitter', 'google', 'biased', 'toward', 'dems', 'ridiculous', 'twitter', 'fact', 'made', 'much', 'difficult', 'people', 'join', 'removed', 'many', 'names', 'amp', 'greatly', 'slowed', 'level', 'speed', 'increase', 'acknowledged', 'done', 'nothing']"
130,False,"['hope', 'people', 'fed', 'read', 'today', 'wall', 'street', 'journal', 'editorial', 'make', 'yet', 'another', 'mistake', 'also', 'let', 'market', 'become', 'illiquid', 'already', 'stop', '50', 'b', 'feel', 'market', 'go', 'meaningless', 'numbers', 'good', 'luck']"
131,False,"['good', 'luck', 'today', 'court', 'general', 'michael', 'flynn', 'interesting', 'see', 'say', 'despite', 'tremendous', 'pressure', 'put', 'russian', 'collusion', 'great', 'obviously', 'highly', 'successful', 'political', 'campaign', 'collusion']"
